stop_id,makat,route_short_name,route_long_name,agency_name,stop_name,city_name
49122,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,שלמה,תל אביב יפו
49122,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,שלמה,תל אביב יפו
49134,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,אליפלט,תל אביב יפו
49134,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,אליפלט,תל אביב יפו
49134,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,אליפלט,תל אביב יפו
49135,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,אלנבי,תל אביב יפו
49135,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,אלנבי,תל אביב יפו
49135,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,אלנבי,תל אביב יפו
49100,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,קרליבך,תל אביב יפו
49100,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,קרליבך,תל אביב יפו
49100,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,קרליבך,תל אביב יפו
49109,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,יהודית,תל אביב יפו
49109,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,יהודית,תל אביב יפו
49109,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,יהודית,תל אביב יפו
49149,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,שאול המלך,תל אביב יפו
49149,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,שאול המלך,תל אביב יפו
49149,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,שאול המלך,תל אביב יפו
49093,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,ארלוזורוב,תל אביב יפו
49093,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,ארלוזורוב,תל אביב יפו
49093,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,ארלוזורוב,תל אביב יפו
49150,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,אבא הלל,רמת גן
49150,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,אבא הלל,רמת גן
49150,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,אבא הלל,רמת גן
49145,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,ביאליק,רמת גן
49145,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,ביאליק,רמת גן
49145,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,ביאליק,רמת גן
49146,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,בן גוריון,בני ברק
49146,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,בן גוריון,בני ברק
49146,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,בן גוריון,בני ברק
49117,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,אהרונוביץ',בני ברק
49117,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,אהרונוביץ',בני ברק
49117,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,אהרונוביץ',בני ברק
49128,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,שנקר,פתח תקווה
49140,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,שחם,פתח תקווה
49141,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,בלינסון,פתח תקווה
49142,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,דנקנר,פתח תקווה
49120,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,קרול,פתח תקווה
49131,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,פינסקר,פתח תקווה
49157,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,תחנה מרכזית פתח תקווה,פתח תקווה
49132,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,תחנה מרכזית פתח תקווה,פתח תקווה
49143,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,פינסקר,פתח תקווה
49098,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,קרול,פתח תקווה
49130,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,דנקנר,פתח תקווה
49107,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,בלינסון,פתח תקווה
49129,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,שחם,פתח תקווה
49097,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,שנקר,פתח תקווה
49095,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,אהרונוביץ',בני ברק
49095,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,אהרונוביץ',בני ברק
49095,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,אהרונוביץ',בני ברק
49151,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,בן גוריון,בני ברק
49151,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,בן גוריון,בני ברק
49151,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,בן גוריון,בני ברק
49094,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,ביאליק,רמת גן
49094,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,ביאליק,רמת גן
49094,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,ביאליק,רמת גן
49101,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,אבא הלל,רמת גן
49101,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,אבא הלל,רמת גן
49101,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,אבא הלל,רמת גן
49110,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,ארלוזורוב,תל אביב יפו
49110,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,ארלוזורוב,תל אביב יפו
49110,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,ארלוזורוב,תל אביב יפו
49137,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,שאול המלך,תל אביב יפו
49137,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,שאול המלך,תל אביב יפו
49137,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,שאול המלך,תל אביב יפו
49136,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,יהודית,תל אביב יפו
49136,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,יהודית,תל אביב יפו
49136,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,יהודית,תל אביב יפו
49124,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,קרליבך,תל אביב יפו
49124,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,קרליבך,תל אביב יפו
49124,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,קרליבך,תל אביב יפו
49123,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,אלנבי,תל אביב יפו
49123,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,אלנבי,תל אביב יפו
49123,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,אלנבי,תל אביב יפו
49092,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,אליפלט,תל אביב יפו
49092,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,אליפלט,תל אביב יפו
49092,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,אליפלט,תל אביב יפו
49099,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,שלמה,תל אביב יפו
49099,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,שלמה,תל אביב יפו
49091,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,אצטדיון בלומפילד,תל אביב יפו
49091,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,אצטדיון בלומפילד,תל אביב יפו
49148,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,ארליך,תל אביב יפו
49148,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,ארליך,תל אביב יפו
49133,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,איסקוב,תל אביב יפו
